id,name,class,rank,cost,focusCost,range,isAttack,damage,hasGraze,grazeDamage,hasResistance,resistanceDV,tags,description,isInnate,isHeroicTalent,parent
paladin-shield-charge,Shield Charge,paladin,2,2,2,,FALSE,,FALSE,,FALSE,10,"shield,movement","Perform the *Basic* **Move Action**.
During this *Movement:* You can't change directions, have **Damage Resistance**, and ignore **Difficult Terrain**.
At the end of this *Movement:* Perform a *Melee Attack* **Action** that costs **1 AP** or less as a **Free Action**. It deals **+3 Bonus Damage**.",FALSE,FALSE,
paladin-shield-mastery,Shield Mastery,paladin,2,passive,0,,FALSE,,FALSE,,FALSE,10,,You have **Block Rating** +2.,FALSE,FALSE,
paladin-radiance,Radiance,paladin,3,passive,0,,FALSE,,FALSE,,FALSE,10,,"Your *Aura* is a **Size 2 Area**, though characters outside your **Line of Effect** gain no benefits.
You also gain the **Prominence** *Special* **Action**.",FALSE,FALSE,
paladin-radiance-special,Radiance: Prominence,paladin,3,1,2,,FALSE,,FALSE,,FALSE,10,"special,limitround","Until the start of your next turn, your *Aura* is a **Size 3 Area**, though characters outside your **Line of Effect** gain no benefits.",FALSE,FALSE,paladin-radiance
paladin-fortify,Fortify,paladin,3,1,0,,FALSE,,FALSE,,FALSE,10,limitround,"Until the start of your next turn, you have **+1 Armor** and **Immunity to Involuntary Movement.**",FALSE,FALSE,
paladin-formation-fighting,Formation Fighting,paladin,3,reaction,0,,FALSE,,FALSE,,FALSE,10,"reaction,limitround","**Condition:** An allied character takes damage.
**Effect:** The damaged character may perform a *Basic* **Move Action** as a **Free Reaction**. This movement must move as far as possible towards you by the shortest available path.
",FALSE,FALSE,
paladin-indefatigable,Indefatigable,paladin,4,passive,0,,FALSE,,FALSE,,FALSE,10,,"Whenever **Barrier, Damage Resistance, or Invulnerability** affects the amount of damage you take: Recover **1 Focus**.",FALSE,FALSE,
paladin-aegis,Aegis,paladin,4,passive,0,,FALSE,,FALSE,,FALSE,10,,**Under Construction**.,FALSE,FALSE,
paladin-smite,Smite,paladin,4,reaction,2,,FALSE,,FALSE,,FALSE,10,"support,spell,reaction","**Condition:** An allied character makes a successful attack against a hostile character adjacent to you.
**Effect - Focus Cost 2:** Choose one:
- The attack does [tier]+2 **Bonus Damage**.
- The attacker receives [tier]+2 **Healing**.",FALSE,FALSE,
paladin-rampart,Rampart,paladin,5,3,3,,FALSE,,FALSE,,FALSE,10,"shield,support,spell","You create a **Rampart**, a line of five contiguous tiles where all five share an edge and the centermost is adjacent to you. It lasts until the end of your next turn. Your **Rampart** has the following properties:

- You and allied characters have **Damage Resistance** against attacks that draw **Line of Effect** through the **Rampart**.
- A hostile character that begins a turn in a tile adjacent to or occupied by the **Rampart** makes a **Resistance Roll** or is **Immobilized 1**. 
- You have **Maximum Speed: 1** and can't perform *Movement* **Actions** other than the *Basic* **Move Action**. *(The Rampart moves with you.)*

**Sustain** (0 AP): **Focus Cost 2**",FALSE,FALSE,
paladin-blessed-armor,Blessed Armor,paladin,5,passive,0,,FALSE,,FALSE,,FALSE,10,limitround,The damage of the first successful *Attack* against you each round is reduced by 5 before all other forms of resistance and armor.,FALSE,FALSE,
towers-generic-shove,Shove,towers,1,1,0,Melee,FALSE,,FALSE,,TRUE,10+[tier],melee,"Target hostile character makes a **Resistance Roll** or suffers **Push 2** and becomes **Prone.**
**Resist:** **Push 1**.",FALSE,FALSE,
towers-generic-toughness,Toughness,towers,1,passive,0,,FALSE,,FALSE,,FALSE,10,,**Passive:** +2 Maximum HP.,FALSE,FALSE,
towers-generic-shield-stance,Shield Stance,towers,1,passive,0,,FALSE,,FALSE,,FALSE,10,"shield,weapon,stance",You can perform *Shield* **Actions**. You have a **Block Rating** equal to 4+[tier] and the **Raise Shield** *Special* **Action**.,FALSE,FALSE,
towers-generic-grapple,Grapple,towers,2,1,0,Melee,TRUE,0,FALSE,0,FALSE,10,melee,"**On Hit**: You are **Grappling**, and the target is **Restrained**. *(They're special Statuses that exist in a pair.)*
- The **Grappling** character can't perform **Grapple**, and can't perform more than one *Movement* **Action** in a turn. That character can clear this status as a **Free Action**.
- The **Restrained** character is **Immobilized** and mirrors the **Grappling** character's movement as involuntary movement. That character has (**1AP**) **Resistance Roll (10):** Clear the status.
The status is cleared any time the characters are no longer adjacent, either character is reduced to 0 HP, or there is a difference in elevation between the characters.",FALSE,FALSE,
towers-generic-stampede,Stampede,towers,2,passive,0,,FALSE,,FALSE,,FALSE,10+[tier],melee,"You can attempt to move into a hostile character's space. When you do, that character makes a **Resistance Roll**. If the character **Resists**, your *Movement* ends. Otherwise, you move into that space, but can't end your turn there.
A **Prone** character automatically fails the **Resistance Roll**.",FALSE,FALSE,
towers-generic-toughness-2,Improved Toughness,towers,3,passive,0,,FALSE,,FALSE,,FALSE,10,,**Passive:** +4 Maximum HP.,FALSE,FALSE,
towers-generic-armor,Armor Mastery,towers,3,passive,0,,FALSE,,FALSE,,FALSE,10,,**Passive:** +1 Armor *(max. 2)*,FALSE,FALSE,
towers-generic-ironskin,Ironskin,towers,4,passive,0,,FALSE,,FALSE,,FALSE,10,,**Passive:** +1 DEF,FALSE,FALSE,
warrior-stance-gladiator,Gladiator Stance,warrior,0,passive,0,,FALSE,,FALSE,,FALSE,10,"weapon,stance",*Non-Spell* **Action** **Focus Cost -1** *(min. 1).*,FALSE,FALSE,
warrior-stance-ranged,Ranged Stance,warrior,0,passive,0,,FALSE,,FALSE,,FALSE,10,"ranged,weapon,stance","In **Ranged Stance**, you can perform *Ranged Weapon Attack* **Actions**. Your *Basic* **Attack Action** is *Ranged* and has **Range 4**.",FALSE,FALSE,
warrior-stance-shield,Shield Stance,warrior,0,passive,0,,FALSE,,FALSE,,FALSE,10,"shield,weapon,stance",You can perform *Shield* **Actions**. You have a **Block Rating** equal to 4+[tier] and the **Raise Shield** *Special* **Action**.,FALSE,FALSE,
warrior-rearm,Rearm,warrior,0,2,0,,FALSE,,FALSE,,FALSE,10,limitround,"Change an active *Stance* to another *Stance* available to you.
Then, you may perform a *Weapon, Ranged Weapon, or Shield* **Action** that shares a tag with your current **Stance**.
That **Action's AP Cost** is reduced by 1 *(min. 1).*",FALSE,FALSE,
warrior-ultimate,Ultimate: Unstoppable,warrior,0,0,0,,FALSE,,FALSE,,FALSE,10,"heroic,ultimate","Gain **1 AP**. It can't be spent on *Spell* **Actions**. Gain **Barrier** ***x***, where ***x*** is half your maximum HP. This **Barrier** isn't lost as turns end. Clear **Prone.** Clear any number of **Conditions** of your choice. For each adjacent character, choose: that character falls **Prone** or suffers **Push 1**.
**For the rest of the encounter:** You can perform an additional **Reaction** during each character's turn, and you have **Start of Turn:** Gain **1 AP**. It can't be spent on *Spell* **Actions**.",FALSE,FALSE,
warrior-second-wind,Second Wind,warrior,1,passive,0,,FALSE,,FALSE,,FALSE,10,limitencounter,"**Passive:** Increased **Focus Pool (+1)**.

**1/Encounter:** When you **Refocus**, apply **Healing** to yourself equal to half your maximum HP.",FALSE,FALSE,
warrior-focus-attack,Focus Attack,warrior,1,2,1,Melee,TRUE,[atk]+2,FALSE,,FALSE,10,"accurate,melee,weapon,attack","**Flurry**

**+1 Advantage**",FALSE,FALSE,
warrior-mighty-attack,Mighty Attack,warrior,1,passive,0,,FALSE,,FALSE,,FALSE,10,bound,"**Bind** to a *non-Spell Attack* **Action**.
The **Bound** *Attack* has **+1 Disadvantage** and **+1 Bonus Damage**. When dealing damage with the **Bound** *Attack*, roll all damage dice twice and use the highest results.",FALSE,FALSE,
warrior-shield-stagger,Shield Stagger,warrior,1,passive,0,,FALSE,,FALSE,,FALSE,10,shield,"**While you're in a** *Shield* **Stance:** Whenever an adjacent hostile character damages your **Barrier**, that character suffers **Push 1** and **Off Guard**.",FALSE,FALSE,
warrior-opportunity,Attack of Opportunity,warrior,2,reaction,0,,FALSE,,FALSE,,FALSE,10,"attack,reaction,limitround","**Condition:** An hostile character within **Range** of a  *Melee Attack* **Action** that costs **2 AP** or less performs a *Movement* **Action**.
**Effect:** Perform that *Melee Attack* **Action** on the triggering character before the triggering **Action**.",FALSE,FALSE,
warrior-bash,Bash,warrior,2,1,2,Melee,TRUE,[atk]+2,TRUE,2,FALSE,10,"melee,attack,limitround","**Bash** has **+1 Advantage** against **Slowed, Prone, or Immobilized** characters and deals +3 **Bonus Damage** to those characters.",FALSE,FALSE,
warrior-duelist-parry,Duelist's Parry,warrior,2,1,1,,FALSE,,FALSE,,FALSE,10,"weapon,limitround","Perform this **Action** only while in a non-*Shield Stance*.
Until the start of your next turn, you have **DEF +1**.",FALSE,FALSE,
warrior-battle-charge,Battle Charge,warrior,3,2,2,,FALSE,,FALSE,,FALSE,10,movement,"Move up to twice your **Speed**.
During this *Movement:* You can't change directions, have **Damage Resistance**, and ignore **Difficult Terrain**.
At the end of this *Movement:* Adjacent hostile characters are **Slowed 1**. *(No roll.)*",FALSE,FALSE,
warrior-battle-high,Battle High,warrior,3,passive,0,,FALSE,,FALSE,,FALSE,10,limitturn,You may **Recover 1 Focus** on a hit with a *Basic Melee* **Attack Action**.,FALSE,FALSE,
warrior-sunder,Sunder,warrior,3,1,1,,FALSE,,FALSE,,TRUE,10+[tier],"melee,weapon",Your next **Attack Action** has **On Hit:** Target makes a **Resistance Roll** or becomes **Sundered 1**.,FALSE,FALSE,
warrior-shockwave,Shockwave,warrior,4,2,2,Cleave 3,FALSE,,FALSE,,TRUE,10+[tier],"melee,weapon","Characters in a **Cleave 3** area make a **Resistance Roll** or suffer 2[A]+3 **DMG** and fall **Prone,** or become **Immobilized 1** if already **Prone.**
A character that **Resists** suffers half damage and isn't **Prone** or **Immobilized.**",FALSE,FALSE,
warrior-indomitable,Indomitable,warrior,4,reaction,2,,FALSE,,FALSE,,FALSE,10,"reaction,limitencounter","**Condition:** You fail a **Resistance Roll.**

**Effect - Focus Cost 2:** Reroll that **Resistance Roll** and use the new result.",FALSE,FALSE,
warrior-flagbearer,Flagbearer,warrior,4,reaction,1,,FALSE,,FALSE,,FALSE,10,"support,reaction,limitround","**Condition:** An adjacent allied character becomes the target of an **Action** that targets only one character.

**Effect � Focus Cost 1:** You become the new target of that **Action.** *( It's applied even if you're outside the action's normal range. )*",FALSE,FALSE,
warrior-onslaught,Onslaught,warrior,5,reaction,4,,FALSE,,FALSE,,FALSE,10,"weapon,limitencounter",Perform the *Basic* **Attack Action** with **Flurry** as a **Free Action** four times.,FALSE,FALSE,
warrior-demolish,Demolisher's Art,warrior,5,1,4,,FALSE,,FALSE,,FALSE,10,"melee,weapon","You gain one use of the **Craterize** *Special* **Action.** Until you perform **Craterize,** you can't perform other *Weapon* or *Attack* **Actions** and can't perform more than one *Movement* **Action** each turn.",FALSE,FALSE,
warrior-demolish-special,Demolisher's Art: Craterize,warrior,5,2,0,Melee,TRUE,3[atk]+5,FALSE,,TRUE,10+[tier],"special,melee,weapon,attack","Perform **Craterize** only during a **Delayed Turn** and only with **Initiative.**

- **On Attack:** Characters adjacent to the target make a **Resistance Roll** or suffer the attack's full damage, or half damage on a **Resist**.
- Each character damaged by **Craterize** becomes **Prone**, or **Immobilized 1** if already **Prone**.",FALSE,FALSE,warrior-demolish
avenger-shadowbringer,Shadowbringer,avenger,0,0,1,,FALSE,,FALSE,,FALSE,10,"spell,limitround","Roll **1d6**. You take that much **Piercing Chaos Damage**.
The first *Attack* you make as part of any *Attack* **Action** this turn deals that much **Bonus Damage** on a hit.",FALSE,FALSE,
avenger-taunt,Taunt,avenger,0,1,0,Range 3,FALSE,,FALSE,,FALSE,10,limitround,"Target hostile character is **Taunted 1**.
*(+1 Disadvantage on Attack Rolls against characters other than you as long as you're not Staggered, Invulnerable, or otherwise untargetable.)*",FALSE,FALSE,
avenger-grit,Grit,avenger,0,passive,0,,FALSE,,FALSE,,FALSE,10,,"While **Battered**, you have **Damage Resistance**.

**1/Encounter:** The first time **Shadowbringer** would bring you to 0 or less HP, your HP becomes your **Battered** threshold.",FALSE,FALSE,
avenger-ultimate,Ultimate: Call of the Void,avenger,0,reaction,0,,FALSE,,FALSE,,FALSE,10,"heroic,ultimate,reaction","**Condition:** Damage dealt by a hostile character would reduce your **HP** to 0 or less.
**Effect:** Gain **Exmortis**. *(It's a special Status.)*
**Exmortis** has the following effect: You regenerate **Turn AP** and can perform **Actions** normally while at 0 or less HP. You have **+1 Advantage** on all **Action Resolutions**. Characters can't **Aid** you, and you can't gain HP in any way. If you would take any amount of damage, ignore that damage and become **Stunned +1**.
If you're **Stunned 3** or greater at the start of your turn, **Exmortis** ends and your **HP** becomes 1 if it's less than 1.",FALSE,FALSE,
avenger-bloodletting,Bloodletting,avenger,1,1,1,,FALSE,,FALSE,,TRUE,10,,"You suffer **Piercing Chaos Damage** equal to the number of **Conditions** affecting you that aren't self-inflicted.Then, choose one of those **Conditions** and make a **Resistance Roll** (10). On a **Resist,** clear that **Condition.**",FALSE,FALSE,
avenger-mocking-blow,Mocking Blow,avenger,1,1,2,,TRUE,[atk],FALSE,,TRUE,10+[tier],"melee,weapon,attack,limitround","**Flurry**
**On Hit:** Target makes a **Resistance Roll** or becomes **Taunted 1.**",FALSE,FALSE,
avenger-the-greatest-teacher,The Greatest Teacher,avenger,1,passive,0,,FALSE,,FALSE,,FALSE,10,reaction,"**Condition:** A hostile character within the range of your *Basic* **Study Action** deals damage to you or an allied character adjacent to you.
**Effect:** Perform the *Basic* **Study Action** against the triggering character as part of this **Reaction.**",FALSE,FALSE,
avenger-crisis-core,Crisis Core,avenger,1,passive,0,,FALSE,,FALSE,,FALSE,10,battered,**While Battered:** The first *Attack* you make as part of each *Attack* **Action** you perform deals **+2** **Bonus Damage** on a hit.,FALSE,FALSE,
avenger-fight-or-flight,Fight or Flight,avenger,2,passive,0,,FALSE,,FALSE,,FALSE,10,battered,**While Battered:** You have **+1 Speed.**,FALSE,FALSE,
avenger-heavy-stance,Heavy Stance,avenger,2,passive,0,,FALSE,,FALSE,,FALSE,10,"weapon,stance",You have **+1 Attack** and **All In**.,FALSE,FALSE,
avenger-heavy-stance-special,Heavy Stance: All In,avenger,2,2,0,Melee,TRUE,2[atk]+2,FALSE,,FALSE,10,"special,melee,weapon,attack",,FALSE,FALSE,
avenger-revenge,Revenge,avenger,2,reaction,0,,FALSE,,FALSE,,FALSE,10,"attack,reaction,limitround","**Condition:** A hostile character within the **Range** of an available *Melee Attack* **Action** inflicts a harmful **Condition** on you.
**Effect:** Perform that *Melee Attack* **Action** on the triggering character before the **Condition** is inflicted.",FALSE,FALSE,avenger-heavy-stance
avenger-hatred,Hatred,avenger,3,2,3,,FALSE,,FALSE,,FALSE,10,"aura,spell","**Until the end of your next turn:** Hostile characters within your **Aura** have **+1 Disadvantage** on **Resistance Rolls.**
**Sustain - Focus Cost:** 1",FALSE,FALSE,
avenger-menace,Menace,avenger,3,passive,0,,FALSE,,FALSE,,FALSE,10,,**Taunted** you apply doesn't Decay on a character unless that character targets you or forces you to make a **Resistance Roll** with any **Action** during their turn.,FALSE,FALSE,
avenger-eye-for-an-eye,Eye for an Eye,avenger,3,passive,0,,FALSE,,FALSE,,FALSE,10,,"When you take damage from a hostile character, recover 1 **Focus**.",FALSE,FALSE,
avenger-scraps-of-life,Scraps of Life,avenger,4,reaction,0,,FALSE,,FALSE,,FALSE,10,"support,reaction,limitround","**Condition:** An adjacent allied character takes damage.
**Effect:** Prevent that damage. You take that much **Piercing Chaos Damage.**",FALSE,FALSE,
avenger-intimidation-tactics,Intimidation Tactics,avenger,4,passive,0,,FALSE,,FALSE,,FALSE,10,,"Your *Attack* **Actions** have **+1 Advantage** against **Taunted, Poisoned,** or **Bleeding** characters.",FALSE,FALSE,
avenger-reflection,Conjure Reflection,avenger,4,2,3,,FALSE,,FALSE,,FALSE,10,"legendary,summon,spell,limitround","Conjure **Reflection** in an adjacent free tile. **Reflection** is **Legendary,** can perform *Basic* **Move** and **Attack Actions** using your **AP**, and doesn't provoke **Reactions.**

**Reflection** (**ATK** d6, **MAG** d6, **HP** N/A, **DEF** Yours, **SPD** Yours, **FP** 0) **1/Round**: When you inflict a **Condition** on a hostile character: **Reflection** performs an **Action** that costs **1 AP** or less as a **Free Action**.

If **Reflection** would take damage, instead, you take that damage. **Reflection** is removed from play when you become **Downed.** **Reflection** is **Invulnerable** to sources of damage that affect multiple characters.",FALSE,FALSE,
avenger-enchainment,Enchainment,avenger,5,1,1,Range 3,TRUE,[atk]+1,FALSE,,FALSE,10,"melee,weapon,attack","Target any number of hostile characters. 

**For each target beyond the first:** **Focus Cost: +1**.
- **On Hit:** The target is **Pulled** as close to you as possible.",FALSE,FALSE,
avenger-frightening-aspersion,Frightening Aspersion,avenger,5,passive,0,,FALSE,,FALSE,,FALSE,10,,"When you inflict **Taunted, Poisoned,** or **Bleeding** to a hostile character, also inflict **Stunned +1.**
Each hostile character can only be **Stunned** by **Frightening Aspersion** once per encounter.",FALSE,FALSE,
core-attack,Attack,core,0,1,0,Melee,TRUE,[atk],FALSE,,FALSE,10,"melee,attack","*(During your turn, Attack **Actions** have **+1 Disadvantage** for each other Attack **Action** performed this turn. An Attack **Action** with the **Flurry** property is exempt from this characteristic.)*",TRUE,FALSE,
core-move,Move,core,0,1,0,,FALSE,,FALSE,,FALSE,10,movement,"**Choose one:** **Move** **Speed**, or clear **Prone**.",TRUE,FALSE,
core-aid,Aid,core,0,1,0,Melee,FALSE,,FALSE,,TRUE,10,limitround,"While you are adjacent to an allied character, you can **Aid** that character. **Choose one:**
- **Describe how you aid that character. At the GM's discretion: **Make an **Action Resolution** (DV 10). If you succeed, that character's next **Action Resolution** that benefits from your aid **during their next turn** has **+1 Advantage.** *(This effect does not stack with repeated uses of the Aid action from a single character or with Aid actions from multiple characters.)*
- That character may clear **Prone** as a **Reaction**.
- That character clears **Staggered.**",TRUE,FALSE,
core-study,Study,core,0,1,0,,FALSE,,FALSE,,FALSE,10,,"Target a character within **Range 4.** Choose one of the following:
� You learn that character's remaining HP and defenses.
� You learn the character's attacks and abilities.
� At the GM's discretion, you learn a piece of useful information about the character.",TRUE,FALSE,
core-evade,Evade,core,0,1,0,,FALSE,,FALSE,,FALSE,10,movement,**Move 1. **Performing **Evade** doesn't trigger hostile **Reactions.**,TRUE,FALSE,
core-refocus,Refocus,core,0,3,0,,FALSE,,FALSE,,FALSE,10,,Recover one third of your maximum **Focus.** Clear **Off Guard.**,TRUE,FALSE,
blades-generic-deadly,Deadly,blades,1,passive,0,,FALSE,,FALSE,,FALSE,10,limitround,"**Each round,** your first hit with a *Weapon Attack* **Action** deals **+2 Bonus Damage** to one target.",FALSE,FALSE,
blades-generic-flanking,Flanking,blades,1,passive,0,,FALSE,,FALSE,,FALSE,10,,"You have **+1 Advantage** on *Melee Attack Actions* against a character you are *Flanking*.
*(You are Flanking a character if you and an allied character are in melee range of, and on opposite sides of that character. A line drawn from the center of your tile to the center of the ally's tile must pass through opposite corners or sides of the flanked character's tile. It's a special Status.)*",FALSE,FALSE,
blades-generic-assault,Assault,blades,1,passive,0,,FALSE,,FALSE,,FALSE,10,bound,"**Bind** to a *non-Basic Attack* **Action**. *( When you begin a Quest, choose an option from those available to you to bind this ability to. )*
The **Bound** *Attack* is a **Combo Action** with **Focus Cost +1.**",FALSE,FALSE,
blades-generic-battlestance,Battle Stance,blades,2,passive,0,,FALSE,,FALSE,,FALSE,10,"melee,weapon,stance",You have **+1 Attack**.,FALSE,FALSE,
blades-generic-staggeringblow,Staggering Blow,blades,2,passive,0,,FALSE,,FALSE,,TRUE,10+[tier],"passive,bound","**Bind** to a *non-Basic Attack* **Action**. *( When you begin a Quest, choose an option from those available to you to bind this ability to. )*
The **Bound** *Attack* has **Finisher:** +3 **Bonus Damage.** The target makes a **Resistance Roll** or becomes **Prone.**",FALSE,FALSE,
blades-generic-foolsgambit,Fool's Gambit,blades,3,1,1,,FALSE,,FALSE,,FALSE,10,limitround,"**This turn**, your next non-*Basic,* non-*Finisher* *Weapon Attack* **Action** is a *Combo* **Action** and costs 1 AP less *(min. 0)*.",FALSE,FALSE,
blades-generic-sneak,Sneak,blades,3,2,1,,FALSE,,FALSE,,FALSE,10,"stealth,limitround","Perform **Sneak** only if you're not adjacent to any hostile characters, and only while adjacent to cover or terrain that grants cover.
You gain **Concealment 3.** It lasts until you take damage or perform any **Action** or **Reaction.**",FALSE,FALSE,
blades-generic-fleetfoot,Fleetfoot,blades,4,passive,0,,FALSE,,FALSE,,FALSE,10,,**+1 Speed.**,FALSE,FALSE,
blademaster-truecharge,True Charge,blademaster,0,passive,0,,FALSE,,FALSE,,FALSE,10,,"When you **Delay**, you may initiate a **True Charge,** which has the following properties:
- Until your **Delayed** turn begins, if you would take any amount of damage from a single source, you may gain **Damage Resistance** against that damage. Activate this effect only once per **True Charge.**
- At the beginning of your **Delayed** turn, you may perform the *Basic* **Evade Action** as a **Free Action**.
- The first *Melee Attack* **Action** you perform during your **Delayed** turn deals **+2 Bonus Damage** on a hit.",FALSE,FALSE,
blademaster-drawstrike,Draw Strike,blademaster,0,passive,0,,FALSE,,FALSE,,FALSE,10,,Your *Melee Weapon Attack* **Actions** have **Initiative:** The **Attack Roll** has **+1 Advantage.** *( An Action activates its Initiative effects if it's your turn and your first AP is spent on that Action. )*,FALSE,FALSE,
blademaster-phasing,Phasing,blademaster,0,passive,0,,FALSE,,FALSE,,FALSE,10,,"During *Movement*, you can move through hostile characters. You still provoke Reactions.",FALSE,FALSE,
blademaster-final-judgment,Final Judgment,blademaster,0,3,0,Range 12,FALSE,,FALSE,,FALSE,10,"heroic,ultimate,attack","Perform **Final Judgement** only during a **Delayed** turn.

As part of this **Action,** perform a *Basic Melee Attack* **Action** against any number of characters within **Range 12**, as long as an unobstructed path of any distance exists through which you could move to that character. These attacks can't be prevented and don't trigger **Reactions.** Attacks made this way have **Flurry,** **+1 Advantage,** and **On Hit:** **+3 Bonus Damage**. Each character targeted this way can only be hit by one successful attack.

You **Teleport** to a free tile within **Range 12.**",FALSE,FALSE,
blademaster-wind-dance,Wind Dance,blademaster,1,0,1,,FALSE,,FALSE,,FALSE,10,limitround,When your *Weapon Attack* **Action** misses all targets: **Focus Cost 1** - Repeat the missed *Attack* **Action** as a **Free Action**.,FALSE,FALSE,
blademaster-whirlwind-strike,Whirlwind Strike,blademaster,1,2,3,Melee,TRUE,[atk]+2,FALSE,,FALSE,10,"melee,weapon,attack",Perform the **Attack Roll** against all hostile characters within **Range**.,FALSE,FALSE,
blademaster-hidden-step,Hidden Step,blademaster,1,0,1,,FALSE,,FALSE,,FALSE,10,movement,Perform a *Basic Evade* **Action**. You're **Stunned +1**--it can't be prevented.,FALSE,FALSE,
blademaster-true-strike,True Strike,blademaster,1,passive,0,,FALSE,,FALSE,,FALSE,10,limitround,The first **Attack Roll** you make for the first *Weapon Attack* **Action** you perform during each of your turns has **+1 Advantage**.,FALSE,FALSE,
blademaster-heavy-stance,Heavy Stance,blademaster,2,passive,0,,FALSE,,FALSE,,FALSE,10,"weapon,stance",You have **+1 Attack** and **All In**.,FALSE,FALSE,
blademaster-heavy-stance-special,Heavy Stance: All In,blademaster,2,2,0,Melee,TRUE,2[atk]+2,FALSE,,FALSE,10,"special,melee,weapon,attack",,FALSE,FALSE,blademaster-heavy-stance
blademaster-parry,Parry,blademaster,2,reaction,0,,FALSE,,FALSE,,FALSE,10,"weapon,reaction,limitround","**Condition:** A hostile character would deal non-**Piercing** damage to you.
**Effect:** Gain [Attack] **Barrier**, which can reduce the triggering damage. If this **Barrier** is depleted by damage, you are **Stunned +1.**",FALSE,FALSE,
blademaster-savage-blade,Savage Edge,blademaster,2,0,2,,FALSE,,FALSE,,FALSE,10,"weapon,limitround","Your next *Weapon Attack* **Action** this turn has the following property:
**On Hit:** Up to one target makes a **Resistance Roll** or suffers **Bleeding 3**.
The character suffers **Bleeding +1** on a **Resist**.",FALSE,FALSE,
blademaster-flickerstep,Flicker Step,blademaster,3,1,2,Range 4,FALSE,,FALSE,,FALSE,10,"movement,limitround",Teleport to a free space.,FALSE,FALSE,
blademaster-versatile-stance,Versatile Stance,blademaster,3,passive,0,,FALSE,,FALSE,,FALSE,10,"weapon,stance","**When you enter this Stance, choose one:**
- Gain **Barrier 3.** This **Barrier** isn't lost as turns end.
- Your next attack deals **+3 Bonus Damage.**
- You gain **+3 Focus,** exceeding the maximum in your Focus Pool.",FALSE,FALSE,
blademaster-huntermark,Hunter's Mark,blademaster,3,reaction,,,FALSE,,FALSE,,FALSE,10,reaction,"**Condition:** A hostile character performs any **Action** while you have no Marked enemy.
**Effect:** Mark the triggering character. When a Marked character is reduced to 0 HP or removed from the encounter, recover 2 **Focus.** While a character is marked, you have **Change Target.**",FALSE,FALSE,
blademaster-huntermark-special,Hunter's Mark: Change Target,blademaster,3,1,0,Range 4,FALSE,,FALSE,,FALSE,10,special,Change your Marked character to target hostile character.,FALSE,FALSE,blademaster-huntermark
blademaster-kipup,Kip Up,blademaster,4,0,0,,FALSE,,FALSE,,FALSE,10,"movement,limitround",Clear **Prone**.,FALSE,FALSE,
